id;type;vmSetp;vaSetp;vmR;vmMin;vmMax;substation;coordID;subnet;voltLvl
MV1.101 Bus 31;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_29;MV1.101_LV2.111;5
MV1.101 Bus 32;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_30;MV1.101_LV2.112;5
MV1.101 Bus 33;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_31;MV1.101_LV2.113;5
MV1.101 Bus 34;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_32;MV1.101_LV2.114;5
MV1.101 Bus 35;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_33;MV1.101_LV2.115;5
MV1.101 Bus 36;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_34;MV1.101_LV2.116;5
MV1.101 Bus 37;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_35;MV1.101_LV2.117;5
MV1.101 Bus 38;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_36;MV1.101_LV2.118;5
MV1.101 Bus 39;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_37;MV1.101_LV2.119;5
MV1.101 Bus 40;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_38;MV1.101_LV1.114;5
MV1.101 Bus 41;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_39;MV1.101_LV1.115;5
MV1.101 Bus 42;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_40;MV1.101_LV2.120;5
MV1.101 Bus 43;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_41;MV1.101_LV1.116;5
MV1.101 Bus 44;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_42;MV1.101_LV1.117;5
MV1.101 Bus 45;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_43;MV1.101_LV1.118;5
MV1.101 Bus 46;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_44;MV1.101_LV1.119;5
MV1.101 Bus 47;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_45;MV1.101_LV1.120;5
MV1.101 Bus 48;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_46;MV1.101_LV1.121;5
MV1.101 Bus 49;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_47;MV1.101_LV2.121;5
MV1.101 Bus 50;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_48;MV1.101_LV2.122;5
MV1.101 Bus 51;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_49;MV1.101_LV2.123;5
MV1.101 Bus 52;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_50;MV1.101_LV4.101;5
MV1.101 Bus 53;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_51;MV1.101_LV4.102;5
MV1.101 Bus 54;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_52;MV1.101_LV4.103;5
MV1.101 Bus 55;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_53;MV1.101_LV4.104;5
MV1.101 Bus 56;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_54;MV1.101_LV4.105;5
MV1.101 Bus 57;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_55;MV1.101_LV2.124;5
MV1.101 Bus 58;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_56;MV1.101_LV1.122;5
MV1.101 Bus 59;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_57;MV1.101_LV1.123;5
MV1.101 Bus 60;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_58;MV1.101_LV4.106;5
MV1.101 Bus 61;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_59;MV1.101_LV4.107;5
MV1.101 Bus 62;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_60;MV1.101_LV2.125;5
MV1.101 Bus 63;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_61;MV1.101_LV1.124;5
MV1.101 Bus 64;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_62;MV1.101_LV2.126;5
MV1.101 Bus 65;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_63;MV1.101_LV4.108;5
MV1.101 Bus 66;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_64;MV1.101_LV4.109;5
MV1.101 Bus 67;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_65;MV1.101_LV2.127;5
MV1.101 Bus 68;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_66;MV1.101_LV1.125;5
MV1.101 Bus 69;node;NULL;NULL;20;0.965;1.055;NULL;coord_67;MV1.101_Feeder6;5
MV1.101 Bus 70;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_68;MV1.101_LV1.126;5
MV1.101 Bus 71;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_69;MV1.101_LV2.128;5
MV1.101 Bus 72;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_70;MV1.101_LV3.103;5
MV1.101 Bus 73;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_71;MV1.101_LV4.110;5
MV1.101 Bus 74;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_72;MV1.101_LV3.104;5
MV1.101 Bus 75;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_73;MV1.101_LV1.127;5
MV1.101 Bus 76;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_74;MV1.101_LV1.128;5
MV1.101 Bus 77;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_75;MV1.101_LV1.129;5
MV1.101 Bus 78;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_76;MV1.101_LV2.129;5
MV1.101 Bus 79;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_77;MV1.101_LV2.130;5
MV1.101 Bus 80;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_78;MV1.101_LV3.105;5
MV1.101 Bus 81;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_79;MV1.101_LV2.131;5
MV1.101 Bus 82;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_80;MV1.101_LV3.106;5
MV1.101 Bus 83;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_81;MV1.101_LV3.107;5
MV1.101 Bus 84;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_82;MV1.101_LV2.132;5
MV1.101 Bus 85;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_83;MV1.101_LV2.133;5
MV1.101 Bus 86;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_84;MV1.101_LV2.134;5
MV1.101 Bus 87;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_85;MV1.101_LV1.130;5
MV1.101 Bus 88;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_86;MV1.101_LV1.131;5
MV1.101 Bus 89;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_87;MV1.101_LV1.132;5
MV1.101 Bus 90;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_88;MV1.101_LV1.133;5
MV1.101 Bus 91;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_89;MV1.101_LV1.134;5
MV1.101 Bus 92;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_90;MV1.101_LV1.135;5
MV1.101 Bus 93;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_91;MV1.101_LV2.135;5
MV1.101 Bus 94;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_92;MV1.101_LV2.136;5
MV1.101 Bus 95;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_93;MV1.101_LV2.137;5
MV1.101 Bus 96;busbar;NULL;NULL;20;0.965;1.055;NULL;coord_94;MV1.101_LV1.136;5
MV1.101 Bus 97;node;NULL;NULL;20;0.965;1.055;NULL;coord_95;MV1.101_Feeder1;5
MV1.101 Bus 98;node;NULL;NULL;20;0.965;1.055;NULL;coord_96;MV1.101_Feeder6;5
HV1 Bus 17_1;auxiliary;NULL;NULL;110;0.9;1.1;HV1_MV1.101_Substation;coord_97;MV1.101;3
MV1.101 busbar1.1_1;auxiliary;NULL;NULL;20;0.965;1.055;HV1_MV1.101_Substation;coord_1;MV1.101;5
HV1 Bus 18_1;auxiliary;NULL;NULL;110;0.9;1.1;HV1_MV1.101_Substation;coord_97;MV1.101;3
MV1.101 busbar1.2_1;auxiliary;NULL;NULL;20;0.965;1.055;HV1_MV1.101_Substation;coord_1;MV1.101;5
MV1.101 busbar1.1_2;auxiliary;NULL;NULL;20;0.965;1.055;HV1_MV1.101_Substation;coord_1;MV1.101;5
MV1.101 Bus 4_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_98;MV1.101_Feeder1;5
MV1.101 Bus 5_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_99;MV1.101_Feeder1;5
MV1.101 Bus 6_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_100;MV1.101_Feeder1;5
MV1.101 Bus 7_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_101;MV1.101_Feeder1;5
MV1.101 Bus 8_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_102;MV1.101_Feeder1;5
MV1.101 Bus 9_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_103;MV1.101_Feeder1;5
MV1.101 Bus 10_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_104;MV1.101_Feeder1;5
MV1.101 Bus 11_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_105;MV1.101_Feeder1;5
MV1.101 Bus 12_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_106;MV1.101_Feeder1;5
MV1.101 Bus 13_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_107;MV1.101_Feeder1;5
MV1.101 Bus 14_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_12;MV1.101_Feeder1;5
MV1.101 Bus 15_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_13;MV1.101_Feeder1;5
MV1.101 Bus 4_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_98;MV1.101_Feeder1;5
MV1.101 Bus 5_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_99;MV1.101_Feeder1;5
MV1.101 Bus 6_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_100;MV1.101_Feeder1;5
MV1.101 Bus 7_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_101;MV1.101_Feeder1;5
MV1.101 Bus 8_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_102;MV1.101_Feeder1;5
MV1.101 Bus 9_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_103;MV1.101_Feeder1;5
MV1.101 Bus 10_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_104;MV1.101_Feeder1;5
MV1.101 Bus 11_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_105;MV1.101_Feeder1;5
MV1.101 Bus 9_3;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_103;MV1.101_Feeder1;5
MV1.101 Bus 6_3;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_100;MV1.101_Feeder1;5
MV1.101 Bus 14_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_12;MV1.101_Feeder1;5
MV1.101 busbar1.1_3;auxiliary;NULL;NULL;20;0.965;1.055;HV1_MV1.101_Substation;coord_1;MV1.101;5
MV1.101 Bus 16_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_108;MV1.101_Feeder2;5
MV1.101 Bus 17_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_109;MV1.101_Feeder2;5
MV1.101 Bus 18_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_110;MV1.101_Feeder2;5
MV1.101 Bus 19_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_111;MV1.101_Feeder2;5
MV1.101 Bus 20_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_112;MV1.101_Feeder2;5
MV1.101 Bus 21_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_113;MV1.101_Feeder2;5
MV1.101 Bus 22_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_114;MV1.101_Feeder2;5
MV1.101 Bus 23_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_115;MV1.101_Feeder2;5
MV1.101 Bus 24_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_116;MV1.101_Feeder2;5
MV1.101 Bus 16_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_108;MV1.101_Feeder2;5
MV1.101 Bus 17_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_109;MV1.101_Feeder2;5
MV1.101 Bus 18_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_110;MV1.101_Feeder2;5
MV1.101 Bus 19_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_111;MV1.101_Feeder2;5
MV1.101 Bus 20_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_112;MV1.101_Feeder2;5
MV1.101 Bus 21_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_113;MV1.101_Feeder2;5
MV1.101 Bus 22_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_114;MV1.101_Feeder2;5
MV1.101 Bus 23_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_115;MV1.101_Feeder2;5
MV1.101 busbar1.1_4;auxiliary;NULL;NULL;20;0.965;1.055;HV1_MV1.101_Substation;coord_1;MV1.101;5
MV1.101 Bus 25_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_117;MV1.101_Feeder3;5
MV1.101 Bus 26_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_118;MV1.101_Feeder3;5
MV1.101 Bus 27_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_119;MV1.101_Feeder3;5
MV1.101 Bus 28_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_120;MV1.101_Feeder3;5
MV1.101 Bus 29_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_121;MV1.101_Feeder3;5
MV1.101 Bus 25_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_117;MV1.101_Feeder3;5
MV1.101 Bus 26_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_118;MV1.101_Feeder3;5
MV1.101 Bus 27_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_119;MV1.101_Feeder3;5
MV1.101 Bus 27_3;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_119;MV1.101_Feeder3;5
MV1.101 busbar1.1_5;auxiliary;NULL;NULL;20;0.965;1.055;HV1_MV1.101_Substation;coord_1;MV1.101;5
MV1.101 Bus 30_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_122;MV1.101_Feeder4;5
MV1.101 Bus 31_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_123;MV1.101_Feeder4;5
MV1.101 Bus 32_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_124;MV1.101_Feeder4;5
MV1.101 Bus 33_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_125;MV1.101_Feeder4;5
MV1.101 Bus 34_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_126;MV1.101_Feeder4;5
MV1.101 Bus 35_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_127;MV1.101_Feeder4;5
MV1.101 Bus 36_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_128;MV1.101_Feeder4;5
MV1.101 Bus 37_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_129;MV1.101_Feeder4;5
MV1.101 Bus 38_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_130;MV1.101_Feeder4;5
MV1.101 Bus 39_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_131;MV1.101_Feeder4;5
MV1.101 Bus 30_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_122;MV1.101_Feeder4;5
MV1.101 Bus 31_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_123;MV1.101_Feeder4;5
MV1.101 Bus 32_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_124;MV1.101_Feeder4;5
MV1.101 Bus 33_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_125;MV1.101_Feeder4;5
MV1.101 Bus 34_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_126;MV1.101_Feeder4;5
MV1.101 Bus 35_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_127;MV1.101_Feeder4;5
MV1.101 Bus 36_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_128;MV1.101_Feeder4;5
MV1.101 Bus 37_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_129;MV1.101_Feeder4;5
MV1.101 Bus 38_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_130;MV1.101_Feeder4;5
MV1.101 busbar1.2_2;auxiliary;NULL;NULL;20;0.965;1.055;HV1_MV1.101_Substation;coord_1;MV1.101;5
MV1.101 Bus 40_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_132;MV1.101_Feeder5;5
MV1.101 Bus 41_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_133;MV1.101_Feeder5;5
MV1.101 Bus 42_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_134;MV1.101_Feeder5;5
MV1.101 Bus 43_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_135;MV1.101_Feeder5;5
MV1.101 Bus 44_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_136;MV1.101_Feeder5;5
MV1.101 Bus 45_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_137;MV1.101_Feeder5;5
MV1.101 Bus 46_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_138;MV1.101_Feeder5;5
MV1.101 Bus 47_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_139;MV1.101_Feeder5;5
MV1.101 Bus 40_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_132;MV1.101_Feeder5;5
MV1.101 Bus 41_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_133;MV1.101_Feeder5;5
MV1.101 Bus 42_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_134;MV1.101_Feeder5;5
MV1.101 Bus 43_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_135;MV1.101_Feeder5;5
MV1.101 Bus 44_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_136;MV1.101_Feeder5;5
MV1.101 Bus 45_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_137;MV1.101_Feeder5;5
MV1.101 Bus 46_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_138;MV1.101_Feeder5;5
MV1.101 busbar1.2_3;auxiliary;NULL;NULL;20;0.965;1.055;HV1_MV1.101_Substation;coord_1;MV1.101;5
MV1.101 Bus 48_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_140;MV1.101_Feeder6;5
MV1.101 Bus 49_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_141;MV1.101_Feeder6;5
MV1.101 Bus 50_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_142;MV1.101_Feeder6;5
MV1.101 Bus 51_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_143;MV1.101_Feeder6;5
MV1.101 Bus 52_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_144;MV1.101_Feeder6;5
MV1.101 Bus 53_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_145;MV1.101_Feeder6;5
MV1.101 Bus 54_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_146;MV1.101_Feeder6;5
MV1.101 Bus 55_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_147;MV1.101_Feeder6;5
MV1.101 Bus 56_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_148;MV1.101_Feeder6;5
MV1.101 Bus 57_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_149;MV1.101_Feeder6;5
MV1.101 Bus 58_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_150;MV1.101_Feeder6;5
MV1.101 Bus 59_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_151;MV1.101_Feeder6;5
MV1.101 Bus 60_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_152;MV1.101_Feeder6;5
MV1.101 Bus 61_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_153;MV1.101_Feeder6;5
MV1.101 Bus 62_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_154;MV1.101_Feeder6;5
MV1.101 Bus 63_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_155;MV1.101_Feeder6;5
MV1.101 Bus 64_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_156;MV1.101_Feeder6;5
MV1.101 Bus 65_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_157;MV1.101_Feeder6;5
MV1.101 Bus 66_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_158;MV1.101_Feeder6;5
MV1.101 Bus 67_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_159;MV1.101_Feeder6;5
MV1.101 Bus 68_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_160;MV1.101_Feeder6;5
MV1.101 Bus 69_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_67;MV1.101_Feeder6;5
MV1.101 Bus 70_1;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_161;MV1.101_Feeder6;5
MV1.101 Bus 48_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_140;MV1.101_Feeder6;5
MV1.101 Bus 49_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_141;MV1.101_Feeder6;5
MV1.101 Bus 50_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_142;MV1.101_Feeder6;5
MV1.101 Bus 51_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_143;MV1.101_Feeder6;5
MV1.101 Bus 52_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_144;MV1.101_Feeder6;5
MV1.101 Bus 53_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_145;MV1.101_Feeder6;5
MV1.101 Bus 54_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_146;MV1.101_Feeder6;5
MV1.101 Bus 55_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_147;MV1.101_Feeder6;5
MV1.101 Bus 56_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_148;MV1.101_Feeder6;5
MV1.101 Bus 57_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_149;MV1.101_Feeder6;5
MV1.101 Bus 58_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_150;MV1.101_Feeder6;5
MV1.101 Bus 59_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_151;MV1.101_Feeder6;5
MV1.101 Bus 60_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_152;MV1.101_Feeder6;5
MV1.101 Bus 61_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_153;MV1.101_Feeder6;5
MV1.101 Bus 62_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_154;MV1.101_Feeder6;5
MV1.101 Bus 63_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_155;MV1.101_Feeder6;5
MV1.101 Bus 64_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_156;MV1.101_Feeder6;5
MV1.101 Bus 65_2;auxiliary;NULL;NULL;20;0.965;1.055;NULL;coord_157;MV1.101_Feeder6;5
